"id","n","label","parent"
"total  -  Adventure  -  Brazil",210,"Brazil","total  -  Adventure"
"total  -  Animation  -  Brazil",75,"Brazil","total  -  Animation"
"total  -  Comedy  -  Brazil",203,"Brazil","total  -  Comedy"
"total  -  Crime  -  Brazil",113,"Brazil","total  -  Crime"
"total  -  Drama  -  Brazil",298,"Brazil","total  -  Drama"
"total  -  Family  -  Brazil",70,"Brazil","total  -  Family"
"total  -  Mystery  -  Brazil",51,"Brazil","total  -  Mystery"
"total  -  Romance  -  Brazil",121,"Brazil","total  -  Romance"
"total  -  Thriller  -  Brazil",58,"Brazil","total  -  Thriller"
"total  -  Action  -  Bulgaria",216,"Bulgaria","total  -  Action"
"total  -  Adventure  -  Bulgaria",127,"Bulgaria","total  -  Adventure"
"total  -  Animation  -  Bulgaria",50,"Bulgaria","total  -  Animation"
"total  -  Comedy  -  Bulgaria",183,"Bulgaria","total  -  Comedy"
"total  -  Crime  -  Bulgaria",124,"Bulgaria","total  -  Crime"
"total  -  Drama  -  Bulgaria",323,"Bulgaria","total  -  Drama"
"total  -  Fantasy  -  Bulgaria",42,"Bulgaria","total  -  Fantasy"
"total  -  Mystery  -  Bulgaria",45,"Bulgaria","total  -  Mystery"
"total  -  Romance  -  Bulgaria",104,"Bulgaria","total  -  Romance"
"total  -  Thriller  -  Bulgaria",54,"Bulgaria","total  -  Thriller"
"total  -  Action  -  Canada",161,"Canada","total  -  Action"
"total  -  Adventure  -  Canada",104,"Canada","total  -  Adventure"
"total  -  Animation  -  Canada",56,"Canada","total  -  Animation"
"total  -  Comedy  -  Canada",174,"Canada","total  -  Comedy"
"total  -  Crime  -  Canada",146,"Canada","total  -  Crime"
"total  -  Drama  -  Canada",284,"Canada","total  -  Drama"
"total  -  Mystery  -  Canada",67,"Canada","total  -  Mystery"
"total  -  Reality TV  -  Canada",33,"Canada","total  -  Reality TV"
"total  -  Romance  -  Canada",87,"Canada","total  -  Romance"
"total  -  Thriller  -  Canada",82,"Canada","total  -  Thriller"
"total  -  Action  -  Chile",132,"Chile","total  -  Action"
"total  -  Adventure  -  Chile",120,"Chile","total  -  Adventure"
"total  -  Animation  -  Chile",77,"Chile","total  -  Animation"
"total  -  Comedy  -  Chile",201,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",109,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",343,"Chile","total  -  Drama"
"total  -  Music  -  Chile",37,"Chile","total  -  Music"
"total  -  Mystery  -  Chile",45,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",123,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",55,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",143,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",109,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",64,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",198,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",115,"Colombia","total  -  Crime"
"total  -  Documentary  -  Colombia",37,"Colombia","total  -  Documentary"
"total  -  Drama  -  Colombia",297,"Colombia","total  -  Drama"
"total  -  Mystery  -  Colombia",49,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",111,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",73,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",123,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",97,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",63,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",204,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",104,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",328,"Costa Rica","total  -  Drama"
"total  -  Music  -  Costa Rica",35,"Costa Rica","total  -  Music"
"total  -  Mystery  -  Costa Rica",44,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",135,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",69,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",165,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",112,"Croatia","total  -  Adventure"
"total  -  Animation  -  Croatia",54,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",209,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",137,"Croatia","total  -  Crime"
"total  -  Documentary  -  Croatia",38,"Croatia","total  -  Documentary"
"total  -  Drama  -  Croatia",305,"Croatia","total  -  Drama"
"total  -  Mystery  -  Croatia",46,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",99,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",59,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",192,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",133,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",55,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",189,"Cyprus","total  -  Comedy"
"total  -  Crime  -  Cyprus",128,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",337,"Cyprus","total  -  Drama"
"total  -  Mystery  -  Cyprus",49,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",93,"Cyprus","total  -  Romance"
"total  -  Sci Fi  -  Cyprus",44,"Cyprus","total  -  Sci Fi"
"total  -  Thriller  -  Cyprus",49,"Cyprus","total  -  Thriller"
"total  -  Action  -  Czech Republic",191,"Czech Republic","total  -  Action"
"total  -  Adventure  -  Czech Republic",146,"Czech Republic","total  -  Adventure"
"total  -  Animation  -  Czech Republic",86,"Czech Republic","total  -  Animation"
"total  -  Comedy  -  Czech Republic",187,"Czech Republic","total  -  Comedy"
"total  -  Crime  -  Czech Republic",130,"Czech Republic","total  -  Crime"
"total  -  Drama  -  Czech Republic",305,"Czech Republic","total  -  Drama"
"total  -  Fantasy  -  Czech Republic",48,"Czech Republic","total  -  Fantasy"
"total  -  Mystery  -  Czech Republic",50,"Czech Republic","total  -  Mystery"
"total  -  Romance  -  Czech Republic",81,"Czech Republic","total  -  Romance"
"total  -  Thriller  -  Czech Republic",45,"Czech Republic","total  -  Thriller"
"total  -  Action  -  Denmark",184,"Denmark","total  -  Action"
"total  -  Adventure  -  Denmark",118,"Denmark","total  -  Adventure"
"total  -  Animation  -  Denmark",57,"Denmark","total  -  Animation"
"total  -  Comedy  -  Denmark",178,"Denmark","total  -  Comedy"
"total  -  Crime  -  Denmark",148,"Denmark","total  -  Crime"
"total  -  Drama  -  Denmark",328,"Denmark","total  -  Drama"
"total  -  Fantasy  -  Denmark",42,"Denmark","total  -  Fantasy"
"total  -  Mystery  -  Denmark",51,"Denmark","total  -  Mystery"
"total  -  Romance  -  Denmark",88,"Denmark","total  -  Romance"
"total  -  Thriller  -  Denmark",59,"Denmark","total  -  Thriller"
"total  -  Action  -  Dominican Republic",171,"Dominican Republic","total  -  Action"
"total  -  Adventure  -  Dominican Republic",108,"Dominican Republic","total  -  Adventure"
"total  -  Animation  -  Dominican Republic",53,"Dominican Republic","total  -  Animation"
"total  -  Comedy  -  Dominican Republic",157,"Dominican Republic","total  -  Comedy"
"total  -  Crime  -  Dominican Republic",117,"Dominican Republic","total  -  Crime"
"total  -  Drama  -  Dominican Republic",294,"Dominican Republic","total  -  Drama"
"total  -  Fantasy  -  Dominican Republic",35,"Dominican Republic","total  -  Fantasy"
"total  -  Mystery  -  Dominican Republic",47,"Dominican Republic","total  -  Mystery"
"total  -  Romance  -  Dominican Republic",88,"Dominican Republic","total  -  Romance"
"total  -  Thriller  -  Dominican Republic",71,"Dominican Republic","total  -  Thriller"
"total  -  Action  -  Ecuador",147,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",120,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",71,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",207,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",94,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",283,"Ecuador","total  -  Drama"
"total  -  Music  -  Ecuador",33,"Ecuador","total  -  Music"
"total  -  Mystery  -  Ecuador",39,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",102,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",62,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",184,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",104,"Egypt","total  -  Adventure"
"total  -  Animation  -  Egypt",55,"Egypt","total  -  Animation"
"total  -  Comedy  -  Egypt",189,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",117,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",338,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",34,"Egypt","total  -  Fantasy"
"total  -  Mystery  -  Egypt",41,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",87,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",63,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",139,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",107,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",65,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",193,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",110,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",301,"El Salvador","total  -  Drama"
"total  -  Music  -  El Salvador",32,"El Salvador","total  -  Music"
"total  -  Mystery  -  El Salvador",39,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",110,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",60,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",181,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",122,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",59,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",205,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",110,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",274,"Estonia","total  -  Drama"
"total  -  Mystery  -  Estonia",56,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",75,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",48,"Estonia","total  -  Sci Fi"
"total  -  Thriller  -  Estonia",45,"Estonia","total  -  Thriller"
"total  -  Action  -  Finland",197,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",112,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",57,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",173,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",154,"Finland","total  -  Crime"
"total  -  Drama  -  Finland",338,"Finland","total  -  Drama"
"total  -  Fantasy  -  Finland",38,"Finland","total  -  Fantasy"
"total  -  Mystery  -  Finland",53,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",78,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",56,"Finland","total  -  Thriller"
"total  -  Action  -  France",199,"France","total  -  Action"
"total  -  Adventure  -  France",118,"France","total  -  Adventure"
"total  -  Animation  -  France",50,"France","total  -  Animation"
"total  -  Comedy  -  France",153,"France","total  -  Comedy"
"total  -  Crime  -  France",147,"France","total  -  Crime"
"total  -  Drama  -  France",342,"France","total  -  Drama"
"total  -  Fantasy  -  France",53,"France","total  -  Fantasy"
"total  -  Mystery  -  France",52,"France","total  -  Mystery"
"total  -  Romance  -  France",79,"France","total  -  Romance"
"total  -  Thriller  -  France",70,"France","total  -  Thriller"
"total  -  Action  -  Germany",206,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",153,"Germany","total  -  Adventure"
"total  -  Animation  -  Germany",51,"Germany","total  -  Animation"
"total  -  Comedy  -  Germany",182,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",151,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",316,"Germany","total  -  Drama"
"total  -  Fantasy  -  Germany",63,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",52,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",85,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",66,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",183,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",122,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",56,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",176,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",134,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",342,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",45,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",56,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",92,"Greece","total  -  Romance"
"total  -  Thriller  -  Greece",41,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",214,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",119,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",50,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",157,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",143,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",320,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",47,"Guadeloupe","total  -  Fantasy"
"total  -  Mystery  -  Guadeloupe",45,"Guadeloupe","total  -  Mystery"
"total  -  Romance  -  Guadeloupe",88,"Guadeloupe","total  -  Romance"
"total  -  Thriller  -  Guadeloupe",69,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",123,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",106,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",67,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",206,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",101,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",303,"Guatemala","total  -  Drama"
"total  -  Music  -  Guatemala",33,"Guatemala","total  -  Music"
"total  -  Mystery  -  Guatemala",44,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",118,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",57,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",135,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",91,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",48,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",197,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",113,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",318,"Honduras","total  -  Drama"
"total  -  Music  -  Honduras",34,"Honduras","total  -  Music"
"total  -  Mystery  -  Honduras",45,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",127,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",65,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",237,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",105,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",151,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",115,"Hong Kong","total  -  Crime"
"total  -  Drama  -  Hong Kong",346,"Hong Kong","total  -  Drama"
"total  -  Fantasy  -  Hong Kong",39,"Hong Kong","total  -  Fantasy"
"total  -  Mystery  -  Hong Kong",73,"Hong Kong","total  -  Mystery"
"total  -  Romance  -  Hong Kong",117,"Hong Kong","total  -  Romance"
"total  -  Sci Fi  -  Hong Kong",58,"Hong Kong","total  -  Sci Fi"
"total  -  Thriller  -  Hong Kong",69,"Hong Kong","total  -  Thriller"
"total  -  Action  -  Hungary",185,"Hungary","total  -  Action"
"total  -  Adventure  -  Hungary",120,"Hungary","total  -  Adventure"
"total  -  Animation  -  Hungary",70,"Hungary","total  -  Animation"
"total  -  Comedy  -  Hungary",197,"Hungary","total  -  Comedy"
"total  -  Crime  -  Hungary",150,"Hungary","total  -  Crime"
"total  -  Drama  -  Hungary",319,"Hungary","total  -  Drama"
"total  -  Fantasy  -  Hungary",46,"Hungary","total  -  Fantasy"
"total  -  Mystery  -  Hungary",51,"Hungary","total  -  Mystery"
"total  -  Romance  -  Hungary",106,"Hungary","total  -  Romance"
"total  -  Thriller  -  Hungary",54,"Hungary","total  -  Thriller"
"total  -  Action  -  Iceland",177,"Iceland","total  -  Action"
"total  -  Adventure  -  Iceland",123,"Iceland","total  -  Adventure"
"total  -  Animation  -  Iceland",53,"Iceland","total  -  Animation"
"total  -  Comedy  -  Iceland",187,"Iceland","total  -  Comedy"
"total  -  Crime  -  Iceland",131,"Iceland","total  -  Crime"
"total  -  Documentary  -  Iceland",38,"Iceland","total  -  Documentary"
"total  -  Drama  -  Iceland",305,"Iceland","total  -  Drama"
"total  -  Mystery  -  Iceland",47,"Iceland","total  -  Mystery"
"total  -  Romance  -  Iceland",85,"Iceland","total  -  Romance"
"total  -  Thriller  -  Iceland",48,"Iceland","total  -  Thriller"
"total  -  Action  -  India",252,"India","total  -  Action"
"total  -  Adventure  -  India",65,"India","total  -  Adventure"
"total  -  Comedy  -  India",191,"India","total  -  Comedy"
"total  -  Crime  -  India",215,"India","total  -  Crime"
"total  -  Drama  -  India",393,"India","total  -  Drama"
"total  -  Fantasy  -  India",41,"India","total  -  Fantasy"
"total  -  Horror  -  India",25,"India","total  -  Horror"
"total  -  Mystery  -  India",81,"India","total  -  Mystery"
"total  -  Romance  -  India",79,"India","total  -  Romance"
"total  -  Thriller  -  India",71,"India","total  -  Thriller"
"total  -  Action  -  Indonesia",214,"Indonesia","total  -  Action"
"total  -  Adventure  -  Indonesia",85,"Indonesia","total  -  Adventure"
"total  -  Comedy  -  Indonesia",185,"Indonesia","total  -  Comedy"
"total  -  Crime  -  Indonesia",140,"Indonesia","total  -  Crime"
"total  -  Drama  -  Indonesia",325,"Indonesia","total  -  Drama"
"total  -  Fantasy  -  Indonesia",38,"Indonesia","total  -  Fantasy"
"total  -  Mystery  -  Indonesia",75,"Indonesia","total  -  Mystery"
"total  -  Romance  -  Indonesia",101,"Indonesia","total  -  Romance"
"total  -  Sci Fi  -  Indonesia",38,"Indonesia","total  -  Sci Fi"
"total  -  Thriller  -  Indonesia",78,"Indonesia","total  -  Thriller"
"total  -  Action  -  Ireland",133,"Ireland","total  -  Action"
"total  -  Adventure  -  Ireland",127,"Ireland","total  -  Adventure"
"total  -  Animation  -  Ireland",65,"Ireland","total  -  Animation"
"total  -  Comedy  -  Ireland",210,"Ireland","total  -  Comedy"
"total  -  Crime  -  Ireland",126,"Ireland","total  -  Crime"
"total  -  Documentary  -  Ireland",36,"Ireland","total  -  Documentary"
"total  -  Drama  -  Ireland",293,"Ireland","total  -  Drama"
"total  -  Mystery  -  Ireland",37,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",87,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",47,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",181,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",116,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",57,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",179,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",124,"Israel","total  -  Crime"
"total  -  Documentary  -  Israel",34,"Israel","total  -  Documentary"
"total  -  Drama  -  Israel",342,"Israel","total  -  Drama"
"total  -  Mystery  -  Israel",39,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",86,"Israel","total  -  Romance"
"total  -  Sci Fi  -  Israel",34,"Israel","total  -  Sci Fi"
"total  -  Thriller  -  Israel",66,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",172,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",84,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",174,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",155,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",379,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",41,"Italy","total  -  Fantasy"
"total  -  Mystery  -  Italy",68,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",101,"Italy","total  -  Romance"
"total  -  Sci Fi  -  Italy",32,"Italy","total  -  Sci Fi"
"total  -  Thriller  -  Italy",49,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",212,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",117,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",80,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",178,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",135,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",299,"Jamaica","total  -  Drama"
